timeFromStart,x,y,yaw,vx,vy,vyaw
0,-0.342739,1.18686,4.23672,-0.0549517,-0.106679,0.2
0.3,-0.358255,1.15438,4.29672,-0.0484559,-0.109782,0.2
0.6,-0.371795,1.12103,4.35672,-0.0417858,-0.11249,0.2
0.9,-0.383311,1.08693,4.41672,-0.0349652,-0.114793,0.2
1.2,-0.392762,1.0522,4.47672,-0.0280189,-0.116683,0.2
1.5,-0.400112,1.01696,4.53672,-0.0209717,-0.118153,0.2
1.8,-0.405337,0.981346,4.59672,-0.013849,-0.119198,0.2
2.1,-0.408417,0.945484,4.65672,-0.00667647,-0.119814,0.2
2.4,-0.40934,0.909501,4.71672,0.00052008,-0.119999,0.2
2.7,-0.408105,0.873527,4.77672,0.00771476,-0.119752,0.2
3,-0.404714,0.837693,4.83672,0.0148817,-0.119074,0.2
3.3,-0.399181,0.802126,4.89672,0.021995,-0.117967,0.2
3.6,-0.391525,0.766955,4.95672,0.0290292,-0.116436,0.2
3.9,-0.381774,0.732307,5.01672,0.0359589,-0.114486,0.2
4.2,-0.369963,0.698305,5.07672,0.0427593,-0.112123,0.2
4.5,-0.356134,0.665073,5.13672,0.0494057,-0.109358,0.2
4.8,-0.340337,0.63273,5.19672,0.0558743,-0.106198,0.2
5.1,-0.32263,0.601392,5.25672,0.0621418,-0.102657,0.2
5.4,-0.303075,0.571173,5.31672,0.0681857,-0.0987457,0.2
5.7,-0.281743,0.54218,5.37672,0.0739842,-0.0944793,0.2
6,-0.258711,0.514519,5.43672,0.0795164,-0.0898729,0.2
6.3,-0.234061,0.488289,5.49672,0.0847625,-0.0849431,0.2
6.6,-0.207884,0.463584,5.55672,0.0897035,-0.0797075,0.2
6.9,-0.180272,0.440493,5.61672,0.0943216,-0.0741851,0.2
7.2,-0.151325,0.4191,5.67672,0.0986003,-0.0683957,0.2
7.5,-0.121147,0.39948,5.73672,0.102524,-0.0623602,0.2
7.8,-0.089847,0.381706,5.79672,0.106079,-0.0561002,0.2
8.1,-0.0575376,0.36584,5.85672,0.109252,-0.0496383,0.2
8.4,-0.024335,0.351941,5.91672,0.112032,-0.0429978,0.2
8.7,0.00964128,0.340057,5.97672,0.114409,-0.0362025,0.2
